Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19093.13578,18075.1885,16142.575,11378.03,6653.865,6773.482977,6653.261922,6798.550868,7274.412314,7863.258759,8003.910205,8500.023334,8630.138964,8832.022093,8996.237723,10256.42585,12035.83568,14033.1655,15466.12032,16227.81015,16320.30747,15694.25806,15793.74864,16100.89423,15912.72982,15854.2904,15762.92403,15381.09765,15705.63377,16038.22239,15733.13101,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.927605,609.520329,614.433053,595.510777,538.971,552.011224,545.422483,566.041241,504.655,507.094286,518.971071,535.217857,520.219643,539.458929,573.018214,604.2925,657.641585,695.07817,750.724755,826.398841,926.155426,1008.178617,1009.981808,1207.307499,1168.25069,1161.346382,1324.809409,1608.234937,1607.025465,1364.913493,1258.19152,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13259.17184,13353.09998,13160.77149,12965.86828,13010.78712,13131.89156,13010.52741,12816.83813,12553.51235,12609.66914,12136.78323,11627.30584,11079.20172,10399.40021,10258.02183,9987.294477,9833.792258,9645.848857,9452.72019,9364.715647,9238.658108,8991.431876,8831.77803,8609.355986,8540.058697,8528.701682,8446.14364,8164.824385,8182.82513,8081.030875,7974.086619,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.093028,2254.431923,2296.368317,2310.227211,2468.558606,2292.05,2721.91,2803.65,2937.3225,2842.2825,3077.46,2663.905391,2923.718282,2844.966173,2808.599064,3176.851955,3070.885346,3162.918737,3065.977127,3153.880518,3116.818909,3235.699167,3296.946926,3510.637184,3463.059943,3531.217701,3687.508543,3713.244385,3821.127728,3965.78607,4029.619412,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6143.182661,6343.903871,6519.73008,6651.14379,6829.7925,7054.73621,7350.560679,7643.760148,7704.079618,7855.326587,8419.093556,8093.779156,8400.382256,10412.81036,10713.44596,11009.05156,10911.8739,11165.82125,11538.0211,11944.91844,12514.07079,12751.29497,12795.78415,13165.30083,13442.55502,13619.6317,14301.57899,14502.05378,14640.46857,15021.63586,15408.27314,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65600.76852,65690.38816,66436.2678,66661.10244,67584.01958,68372.5297,68007.35053,68570.42135,68225.50968,70245.25551,70956.84134,71171.035,72573.15,73584.8075,73450.79,75267.825,76506.78864,77349.77978,80079.68592,81259.09957,82725.43571,83394.6973,83964.3664,84714.54549,85364.39209,86144.75118,85922.57038,88027.12708,87879.10377,88389.53797,88903.99717,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16367.627,15347.23866,14807.73592,13513.75854,11719.03469,12005.06226,12064.42144,11565.02397,11064.78727,10653.71619,10576.78129,9974.247935,9441.205217,9841.95877,9328.292083,8905.041245,8516.536911,8593.048026,8316.769412,7966.41819,7812.117078,8067.344801,7782.703638,7520.856162,7503.743761,7412.594185,7120.667898,7085.362579,6983.30226,6857.289441,6980.496622,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048.410585,5054.726689,5298.250293,5472.806396,5594.8925,6099.51054,6632.874635,7277.43873,7863.662825,8394.24942,8956.063515,9256.019508,9588.2405,9908.493993,10151.42749,10634.75598,11227.24476,11826.98104,12458.69732,12965.3411,13578.00988,14013.25534,14217.39831,15131.84877,15569.79173,15890.96719,16348.27006,16701.04293,16975.72579,17483.53116,17641.43403,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.817313,146.840584,149.346356,151.512127,153.687899,156.94617,159.099292,160.957414,165.445536,168.371158,167.09678,168.396097,172.212914,171.344731,186.504047,181.568364,182.818184,186.685503,195.925323,192.587642,192.277462,204.449805,199.352149,208.354492,204.434336,209.089179,212.091188,217.785696,213.537704,216.424712,223.17922,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167.428595,5095.055252,3343.045186,2531.783613,2496.216444,2279.727847,2524.281869,2956.101724,3235.445507,3382.171553,3530.023432,3505.472572,2888.208975,3123.36014,3314.411066,3413.773302,3606.834586,3787.973251,3882.990487,3994.513437,3797.328133,3882.064734,3799.630026,3797.8175,3546.010357,3597.319799,3580.446749,3523.448699,3697.933149,3657.090099,3660.954549,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20534.53432,20114.0053,17996.847,17085.77033,16242.51096,15420.48339,15164.04579,14950.31842,14884.43389,14722.91923,14330.50629,14089.24107,13886.18376,13964.7766,14389.84126,14153.38035,14550.10415,14948.40187,15772.96078,15834.46177,16298.92727,15984.85273,16251.87489,16917.91167,16990.73179,17232.56776,16810.77264,17011.16583,17027.96903,17032.60472,17079.26291,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6108.344355,6222.642016,6362.717178,6470.254839,6594.1075,5501.842323,4435.568029,3375.518736,2316.434443,1257.882649,183.505856,208.687596,226.671836,252.656076,247.327817,260.787057,317.985897,373.641403,421.55441,470.912417,523.643822,527.304454,502.657586,520.228219,467.636351,461.136983,469.717552,484.180622,491.268691,506.17676,514.044829,,,
