,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GHG Type
10,Africa Western and Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
11,Africa Western and Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72639.00147,76062.38904,77235.61641,78980.45837,138708.0787,139778.4938,144518.9524,146580.2114,152076.5215,152357.6525,158648.7767,153204.9474,155131.3388,162490.1157,161849.374,170276.2443,170205.5866,170448.4867,172890.6623,170485.5584,177174.9433,181410.5022,183088.7765,187896.9665,188876.7914,192327.439,202632.7702,203356.2805,206240.2969,209354.5071,216101.8729,0.0,0.0,0.0,Nitrous Oxide
12,Africa Western and Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414187.58317,450977.15384,473509.03971000004,473854.59187,531069.3962000001,540308.6386,572775.0972,574891.4413000001,570859.7195,565014.4885999999,586717.2833,588412.127,574619.7417,613458.2716,621944.9888,644618.5464999999,635122.7644,627163.6383,636804.0486999999,626087.0731,669297.5808000001,685138.4347,693793.1762000001,717836.1209999999,736072.6982,743491.1306,770823.2499,776982.9909,799960.168,825131.0639,828668.8577999999,0.0,0.0,0.0,Total
13,Africa Western and Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244358.2367,264354.831,274645.4203,279878.2645,286162.8265,284331.5308,294003.3998,293990.7439,289327.603,280695.9521,287415.0536,287327.7596,280831.8129,302782.6889,310344.3498,322300.7632,320650.3698,316876.1156,316698.6564,313617.6647,331939.6805,338229.4376,340353.7297,343452.4945,350852.2768,356800.0516,366791.2597,373075.8104,383100.9811,392786.2068,396651.3749,0.0,0.0,0.0,Methane
14,Africa Western and Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97190.345,110559.9338,121628.003,114995.869,106198.491,116198.614,134252.745,134320.486,129455.595,131960.884,140653.453,147879.42,138656.59,148185.467,149751.265,152041.539,144266.808,139839.036,147214.73,141983.85,159573.957,165498.4949,170350.67,186486.66,196343.63,194363.64,201399.22,200550.9,210618.89,222990.35,215915.61,0.0,0.0,0.0,Carbon Dioxide
15,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544.179018,3496.030063,3408.133609,3487.524654,4078.360699,4079.841745,3908.034151,3702.706557,3564.438963,3614.401369,3665.113775,3607.007937,3561.112099,3572.183761,3499.262922,3485.974584,3436.85691,3304.341736,3133.841562,3023.683888,3029.718714,3019.352135,3060.733056,3060.841477,3086.507398,3105.39582,3092.440833,3047.750846,3008.433359,2848.125872,2692.195886,0.0,0.0,0.0,Methane
16,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.121148,1194.285004,1112.00166,1159.711516,1372.165772,1344.601428,1196.118016,1124.726404,1166.245992,1132.07298,1188.151368,1150.41014,1298.166111,1312.419883,1272.350455,1275.663026,1213.53018,1210.233533,1142.843086,1131.81984,1122.741193,1160.66258,1159.576168,1132.069355,1152.771143,1193.30493,1232.90805,1199.49957,1093.40189,1121.354209,1015.186729,0.0,0.0,0.0,Nitrous Oxide
17,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11169.800165999999,8809.915067,6759.435269,6725.63617,7535.226471,7375.543173,7072.152167,6306.592961,6535.234955,7731.824349,8055.305143,7991.618076999999,8621.17821,9022.003644,9093.913377,8919.33761,8732.18709,8772.975269,8573.084648,8523.703728,9042.859907,9316.714715,8762.109224,8988.310832,9427.278541,9095.70075,8898.548883,9650.950416,9417.935249000002,8962.780081,8090.582614999999,0.0,0.0,0.0,Total
18,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,61.8,0.0,0.0,86.9,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
19,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060.5,4119.6,2239.3,2078.4,2084.7,1951.1,1968.0,1479.16,1804.55,2985.35,3186.54,3234.2,3761.9,4137.4,4322.3,4095.9,4081.8,4258.4,4209.5,4368.2,4785.4,5136.7,4541.8,4795.4,5188.0,4797.0,4573.2,5403.7,5316.1,4993.3,4383.2,0.0,0.0,0.0,Carbon Dioxide
